Pool Name,Status,Open Date,Weekday,Weekend,Closure Days,Pool Type,Phone,Location 1,Website,anomaly
Liz Carpenter Splashpad,Open,10/01/2024 12:00:00 AM,9:00AM-10:00PM,9:00AM-10:00PM,,Splash Pad,512-974-9332,"200 Dawson Rd
Austin, TX
(30.260196671000074, -97.75523145399995)",http://austintexas.gov/department/liz-carpenter-fountain,0.0
Ricky Guerrero Splashpad,Closed,,Closed for the season,Closed for the season,,Splash Pad,512-974-9332,"1100 Brodie Street
Austin, TX
(30.246923898000034, -97.76367140099995)",Ricky Guerrero Splash Pad (http://www.austintexas.gov/department/ricky-guerrero-splash-pad),0.0
Parque Zaragoza,Closed,,Closed for the season,Closed for the season,,Neighborhood,512-320-0160,"2611 Webberville Rd
Austin, TX
(30.262200781000047, -97.71307661199995)",Parque Zaragoza Pool (http://www.austintexas.gov/department/parque-zaragoza-pool),0.0
Clarksville Splashpad,Closed,,Closed for the season,Closed for the season,,Splash Pad,512-974-9332,"1811 W 11th St
Austin, TX
(30.282105005000062, -97.76410287199997)",Clarksville Splash Pad (http://www.austintexas.gov/department/clarksville-splash-pad),0.0
Westenfield,Closed,,Closed for the season,Closed for the season,,Neighborhood,512-474-2682,"2000 Enfield Rd
Austin, TX
(30.286483287000067, -97.76496863899996)",Westenfield website (http://www.austintexas.gov/department/westenfield-pool),0.0
Walnut Creek,Closed,,Closed for the season,Closed for the season,,Regional,512-834-0824,"12138 N Lamar Blvd
Austin, TX
(30.398443986000075, -97.67950234099999)",http://www.austintexas.gov/department/walnut-creek-pool,0.0
Northwest,Closed,,Closed for renovation,Closed for renovation,,Regional,512-453-0194,"7000 Ardath St
Austin, TX
(30.348728787000027, -97.73985425299998)",Northwest Pool (http://www.austintexas.gov/department/northwest-pool),0.0
Patterson,Closed,,Closed for the season,Closed for the season,,Neighborhood,512-542-9685,"4200 Brookview Dr
Austin, TX
(30.296592644000043, -97.71400165799997)",Patterson Pool (http://www.austintexas.gov/department/patterson-pool),0.0
Deep Eddy,Open,10/01/2024 12:00:00 AM,9:00AM-7:30PM,10:00AM-7:00PM,First Tuesday of the Month,Regional,512-472-8546,"401 Deep Eddy Ave
Austin, TX
(30.277590365000037, -97.77288902099997)",http://www.austintexas.gov/department/deep-eddy-pool,0.0
Givens,Closed,,Closed for renovation,Closed for renovation,,Community,512-928-2657,"3811 E 12th St
Austin, TX
(30.27832090800007, -97.69072592299995)",Givens Pool (http://www.austintexas.gov/department/givens-pool),0.0
Stacy Wading,Closed,,Closed for the season,Closed for the season,,Wading,512-693-2174,"1401 Sunset Lane
Austin, TX
(30.241312486000027, -97.74557365799996)",Little Stacy Wading Pool (http://www.austintexas.gov/department/little-stacy-wading-pool),0.0
Dottie Jordan,Closed,,Closed for the season,Closed for the season,,Neighborhood,512-928-3721,"2803 Loyola Ln
Austin, TX
(30.314319348000026, -97.67341137899996)",Dottie Jordan Pool (http://www.austintexas.gov/department/dottie-jordan-pool),0.0
Brentwood,Closed,,Closed for the season,Closed for the season,,Neighborhood,512-453-1725,"6710 Arroyo
Seco Austin, TX
(30.340441576000046, -97.73037097399998)",Brentwood Pool (http://www.austintexas.gov/department/brentwood-pool),0.0
Rosewood Splashpad,Closed,,Closed for the season,Closed for the season,,Splash Pad,512-974-9332,"2300 Rosewood Ave
Austin, TX
(30.271339, -97.713836)",Rosewood Splash Pad (http://www.austintexas.gov/department/rosewood-splash-pad),0.0
Civitan,Closed,,Closed for the season,Closed for the season,,Neighborhood,512-386-5743,"513 Vargas Rd
Austin, TX
(30.237021979000076, -97.69142730499999)",Civitan Pool (http://www.austintexas.gov/department/civitan-pool),0.0
Murchison,Closed,,Closed for the season,Closed for the season,,Neighborhood,512-241-0618,"7022 Hart Ln
Austin, TX
(30.35336556900006, -97.75870788799995)",Murchison Pool (http://www.austintexas.gov/department/murchison-pool),0.0
Balcones,Closed,,Closed for the season,Closed for the season,,Neighborhood,512-821-2053,"12017 Amherst Dr
Austin, TX
(30.41340406100005, -97.72085543099996)",http://www.austintexas.gov/department/balcones-pool,0.0
Eastwoods Splashpad,Closed,,Closed for the season,Closed for the season,,Splash Pad,512-974-9332,"3001 Harris Park Blvd
Austin, TX
(30.291143504000047, -97.73212589899998)",Eastwoods Splash Pad (http://www.austintexas.gov/department/eastwoods-splash-pad),0.0
Garrison,Closed,,Closed for the season,Closed for the season,,Regional,512-442-4048,"6001 Menchaca Rd
Austin, TX
(30.212930071000073, -97.80184931899998)",http://www.austintexas.gov/department/garrison-pool,0.0
